Herbicide product,Next crop,location group,Shortest time interval,Restriction
Laudis WG,Trigo,1,5,
Laudis,Trigo,1,5,
Monsoon,Trigo,1,1,
Adengo,Trigo,1,4,
Spade Flexx,Trigo,1,4,Evitar la siembra directa. Hacer las labores normales de preparación de suelo antes de sembrar;
Cubix,Trigo,1,1,
Lagon,Trigo,1,1,siguiente cultivo ha de ser de primavera;
Capreno,Trigo,1,1,
Fluva,Trigo,1,1,
Oizysa,Trigo,1,1,
Dimetenamida 72%,Trigo,1,1,
Fluoxipir 20%,Trigo,1,1,
Diflufenican 50%,Trigo,1,1,
Laudis WG,Cebada,1,4,
Laudis,Cebada,1,4,
Monsoon,Cebada,1,1,
Adengo,Cebada,1,4,
Spade Flexx,Cebada,1,4,Evitar la siembra directa. Hacer las labores normales de preparación de suelo antes de sembrar;
Cubix,Cebada,1,1,
Lagon,Cebada,1,1,siguiente cultivo ha de ser de primavera;
Capreno,Cebada,1,1,
Fluva,Cebada,1,1,
Oizysa,Cebada,1,1,
Dimetenamida 72%,Cebada,1,1,
Fluoxipir 20%,Cebada,1,1,
Diflufenican 50%,Cebada,1,1,
Laudis WG,Avena,1,1,
Laudis,Avena,1,1,
Monsoon,Avena,1,1,
Adengo,Avena,1,4,
Spade Flexx,Avena,1,4,Evitar la siembra directa. Hacer las labores normales de preparación de suelo antes de sembrar;
Cubix,Avena,1,1,
Lagon,Avena,1,1,siguiente cultivo ha de ser de primavera;
Capreno,Avena,1,1,
Fluva,Avena,1,1,
Oizysa,Avena,1,1,
Dimetenamida 72%,Avena,1,1,
Fluoxipir 20%,Avena,1,1,
Diflufenican 50%,Avena,1,1,
Laudis WG,Triticale,1,1,
Laudis,Triticale,1,1,
Monsoon,Triticale,1,1,
Adengo,Triticale,1,4,
Spade Flexx,Triticale,1,4,Evitar la siembra directa. Hacer las labores normales de preparación de suelo antes de sembrar;
Cubix,Triticale,1,1,
Lagon,Triticale,1,1,siguiente cultivo ha de ser de primavera;
Capreno,Triticale,1,1,
Fluva,Triticale,1,1,
Oizysa,Triticale,1,1,
Dimetenamida 72%,Triticale,1,1,
Fluoxipir 20%,Triticale,1,1,
Diflufenican 50%,Triticale,1,1,
Laudis WG,Maiz,1,1,
Laudis,Maiz,1,1,
Monsoon,Maiz,1,1,
Adengo,Maiz,1,1,
Spade Flexx,Maiz,1,1,
Cubix,Maiz,1,1,
Lagon,Maiz,1,1,
Capreno,Maiz,1,1,
Fluva,Maiz,1,1,
Oizysa,Maiz,1,1,
Dimetenamida 72%,Maiz,1,1,
Fluoxipir 20%,Maiz,1,1,
Diflufenican 50%,Maiz,1,1,
Laudis WG,Girasol,1,6,
Laudis,Girasol,1,6,
Monsoon,Girasol,1,10,
Adengo,Girasol,1,11,
Spade Flexx,Girasol,1,1,
Cubix,Girasol,1,1,
Lagon,Girasol,1,1,
Capreno,Girasol,1,10,
Fluva,Girasol,1,10,
Oizysa,Girasol,1,1,
Dimetenamida 72%,Girasol,1,1,
Fluoxipir 20%,Girasol,1,1,
Diflufenican 50%,Girasol,1,1,
Laudis WG,Colza,1,4,
Laudis,Colza,1,4,
