Weed latin name,Common Spanish name of weed,genus
Abutilon Theophrasti,"yute chino, hoja terciopelo",Abutilon
Agropyron repens,Grama,Agropyron
Alopecurus myosuroides,Cola de Zorro,Alopecurus
Amaranthus Albus,"Bledo, Sabia",
Amaranthus blitoides,"Bledo, Sabia",
Amaranthus palmeri,Bledo palmeri,
Amaranthus retroflexus,"Bledo, Sabia",
Anagallis arvensis,"Coralitos, coralillo, coronilla, hierba de pájaro, saponaria",Anagallis
Anthemis arvensis,"manzanilla, margarita bastarda ",Anthemis
Atriplex patula,Armuelle,Atriplex
Brassica napus,Colza,Brassica
Calystegia sepium,Campanilla mayor,Calystegia
Capsella bursa-pastoris,Zurrón de pastor,Capsella
Centaurea cyanus,"aciano, scabiosa, azulejo, pincel",Centaurea
Chenopodium album,"quínoa, quínua, quínua negra, cenizo",
Chenopodium opulifolium,Cenizo rojo,
Cirsium arvense,"cardo, cardo blanco, cardo borriquero",Cirsium
convolvulus arvensis,"correhuela, cahiruela",
convolvulus sepium,"ampanilla, corregüela mayor, hiedra campanilla",
Cynodon dactylon,"césped, agramen, gramón, grama, gramilla, Pasto, Pasto bermuda, Pasto estrella, Pata de gallo",Cynodon
Cyperus esculentus,Coquillo,
Cyperus rotundus,"Coquí, juncia",
Datura stramonium,Estramonio,Datura
Digitaria sanguinalis,Pendejuelo,Digitaria
Echinochloa crus-galli,"arrocillo, cerreig, pasto del arroz, pata de gallina, pierna de gallo meridonal",Echinochloa
Equisetum arvense,Cola de caballo,Equisetum
Fumaria officinalis,Sangre de cristo,Fumaria
Galinsoga parviflora,Albahaca silvestre,Galinsoga
Galium aparine,"amor de hortelano, azotalenguas, lapa, amigo de caminantes, amor de ortolano",Galium
Helianthus annuus,Rebrotes de girasol,Helianthus
Lamium spp,Ortiga muerta,Lamium
Lolium spp,"Raigrás, Vallido",
Malva sylvestris,Malva,Malva
Matricaria chamomilla,"manzanilla de Castilla, manzanilla alemana",Matricaria
Mercurialis annua,"Mercurial, Malcoraje, Melcoraje, Ortiga bastarda, Ortiga muerta",Mercurialis
Panicum capillare,"paja voladora, pajilla blanca, panicum",
Panicum dichotomiflorum,Mijo comun,
Papaver rhoeas,Amapola,Papaver
Plantago major,"llantén de agua, llantén de hoja ancha",Plantago
Poa annua,Pastito de invierno,Poa
Polygonum aviculare,centinodia,
Polygonum convolvulus,Polígono trepador,
Polygonum lapathifolium,"pimienta de agua, lagunilla, duraznillo",
Polygonum persicaria,Hierba de Santa María,
Portulaca oleracea,Verdolaga,Portulaca
Rumex spp,Acedera,Rumex
Salsola spp,"barrilla borde, almajo de jaboneros",Salsola
Senecio vulgaris,"senecio común, flor amarilla, hierba cana, cineraria, yuyito ",Senecio
Setaria verticilata,"Lagartera, cola de zorra",
Setaria viridis,Almorejo,
Sinapis arvensis,"mostaza de campo, Flor del pis",Sinapis
Solanum nigrum,Tomatito,Solanum
Sonchus spp,"Cerraja, cerrajón",Sonchus
Sorghum halepense,Cañota,Sorghum
Spergula arvensis,esparcilla,Spergula
Stellaria media,"capiquí, pamplina, hierba gallinera",Stellaria
Veronica Hederifolia,"fuyín, hiedrezuela terrestre, hierba gallinera",Veronica
Vicia faba,habas,Vicia
Xanthium spinosum,cachurrera menor,
Xanthium strumarium,bardana común,
Lolium sp resistente,"Raigrás resistente, Vallido resistente",
